Περιοχή,Είδος,Κατάστημα,Νομός,Διεύθυνση,TK,Τηλέφωνα
ΑΝΩ ΚΑΛΕΣΜΕΝΟ,ΔΠ,ΚΕ ΚΑΡΠΕΝΗΣΙ,ΕΥΡΥΤΑΝΙΑΣ,ΑΘ. ΔΙΑΚΟΥ 3,36100,22370-22313
ΑΝΩ ΚΑΛΛΙΘΕΑ (ΦΘΙΩΤΙΔΑΣ),ΔΠ,ΛΜ ΛΑΜΙΑ,ΦΘΙΩΤΙΔΟΣ,ΘΕΡΜΟΠΥΛΩΝ 23,35003,22310-23901 & 22310-51553
ΑΝΩ ΚΑΛΛΙΘΕΑ Η ΚΑΛΛΙΘΕΑ (ΑΧΑΙΑΣ),ΔΠ,ΠΠ ΠΑΤΡΑ 2,ΑΧΑΙΑΣ,ΑΚΡΩΤΗΡΙΟΥ 90,26500,2610-334863
ΑΝΩ ΚΑΛΛΙΝΙΚΗ,,ΦΛ ΦΛΩΡΙΝΑ,ΦΛΩΡΙΝΑΣ,ΜΑΚΕΔΟΝΟΜΑΧΩΝ 12,53100,23850-44160
ΑΝΩ ΚΑΛΟ ΝΕΡΟ,ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24500,27210-88271
ΑΝΩ ΚΑΛΥΒΙΑ,ΔΠ,ΛΒ ΛΙΒΑΔΕΙΑ,ΒΟΙΩΤΙΑΣ,Δελφών 59,35002,22610-88933
ΑΝΩ ΚΑΛΥΒΙΑ (ΚΛΕΙΤΟΡΟΣ ΑΡΚΑΔΙΑΣ),ΔΠ,ΤΙ ΤΡΙΠΟΛΗ,ΑΡΚΑΔΙΑΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 28,22010,2710-221806
ΑΝΩ ΚΑΛΥΒΙΑ (ΤΡΙΚΟΛΩΝΩΝ ΑΡΚΑΔΙΑΣ),ΔΠ,ΤΙ ΤΡΙΠΟΛΗ,ΑΡΚΑΔΙΑΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 28,22200,2710-221806
ΑΝΩ ΚΑΜΑΡΙ,ΔΠ,ΚΞ ΚΙΑΤΟ,ΚΟΡΙΝΘΟΥ,ΕΘΝΙΚΗΣ .ΑΝΤΙΣΤΑΣΕΩΣ 45,20400,27420-21090
ΑΝΩ ΚΑΜΗΛΑ,,ΣΡ ΣΕΡΡΕΣ,ΣΕΡΡΩΝ,ΒΕΝΙΖΕΛΟΥ 91,62500,23210-50889 & 23210-50887
ΑΝΩ ΚΑΜΙΝΑΚΙΑ,,ΣΡ ΣΕΡΡΕΣ,ΣΕΡΡΩΝ,ΒΕΝΙΖΕΛΟΥ 91,62121,23210-50889 & 23210-50887
ΑΝΩ ΚΑΜΠΗ,ΔΠ,ΚΜ ΚΟΜΟΤΗΝΗ,ΡΟΔΟΠΗΣ,ΤΕΡΜΑ ΑΝΑΠΑΥΣΕΩΣ,69300,25310-73700 & 25310-84433
ΑΝΩ ΚΑΜΠΙΑ,ΔΠ,ΛΜ ΛΑΜΙΑ,ΦΘΙΩΤΙΔΟΣ,ΘΕΡΜΟΠΥΛΩΝ 23,35003,22310-23901 & 22310-51553
ΑΝΩ ΚΑΜΠΟΣ,ΔΠ,ΜΦ ΑΜΦΙΛΟΧΙΑ,ΑΙΤΩΛ/ΝΙΑΣ,ΝΙΚΟΛΑΟΥ ΣΤΡΑΤΟΥ 59,30017,26420-29055
ΑΝΩ ΚΑΜΠΟΣ,ΔΠ,ΝΑ ΝΑΥΠΑΚΤΟΣ,ΑΙΤΩΛ/ΝΙΑΣ,ΑΘΑΝΑΣΙΑΔΗ  ΝΟΒΑ 30,30300,26340-38666
ΑΝΩ ΚΑΡΔΑΜΟΣ,ΔΠ,ΚΜ ΚΟΜΟΤΗΝΗ,ΡΟΔΟΠΗΣ,ΤΕΡΜΑ ΑΝΑΠΑΥΣΕΩΣ,69150,25310-73700 & 25310-84433
ΑΝΩ ΚΑΡΔΑΜΟΣ (ΡΟΔΟΠΗΣ),ΔΠ,ΚΜ ΚΟΜΟΤΗΝΗ,ΡΟΔΟΠΗΣ,ΤΕΡΜΑ ΑΝΑΠΑΥΣΕΩΣ,69150,25310-73700 & 25310-84433
