Περιοχή,Είδος,Κατάστημα,Νομός,Διεύθυνση,TK,Τηλέφωνα
40 ΕΚΚΛΗΣΙΕΣ,,ΘΔ ΑΓ. ΔΗΜΗΤΡΙΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΑΓ.ΔΗΜΗΤΡΙΟΥ 28-30,55438,2310-251604 & 2310-257286
6Ο ΣΥΝΤΑΓΜΑ ΠΕΖΙΚΟΥ,,ΚΟ ΚΟΡΙΝΘΟΣ,ΚΟΡΙΝΘΟΥ,ΑΡΓΟΥΣ 2,20132,27416-01020
Α ΣΥΝΟΙΚΙΣΜΟΣ,,ΣΚ ΣΚΥΔΡΑ,ΠΕΛΛΗΣ,ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ 36,58200,23810-89922
ΑΒΑΝΤΑΣ,ΔΠ,ΑΛ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,ΕΒΡΟΥ,ΝΙΚΟΜΗΔΕΙΑΣ & ΙΣΜΑΡΟΥ,68150,25510-31000
ΑΒΑΝΤΙ,ΔΠ,ΣΜ ΣΑΜΟΣ,ΣΑΜΟΥ,ΘΕΜ. ΣΟΦΟΥΛΗ & Ι. ΛΕΚΑΤΗ 1,83104,22730-80788
ΑΒΑΡΙΚΟΣ,ΔΠ,ΑΓ ΑΓΡΙΝΙΟ,ΑΙΤΩΛ/ΝΙΑΣ,ΜΑΒΙΛΗ 12,30008,26410-33141 & 26410-33241
ΑΒΑΡΙΤΣΑ,ΔΠ,ΗΓ ΗΓΟΥΜΕΝΙΤΣΑ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ 1,46200,26650-28111 & 26650-22987
ΑΒΑΤΟ,ΔΠ,ΞΝ ΞΑΝΘΗ,ΞΑΝΘΗΣ,ΛΕΩΦ.ΣΤΡΑΤΟΥ 52 & ΜΙΑΟΥΛΗ,67200,25410-68384 & 25410-65250
ΑΒΓΑΡΙΑ,ΔΠ,ΕΒ ΙΣΤΙΑΙΑ,ΕΥΒΟΙΑΣ,ΑΘ. ΚΟΡΦΙΑΤΗ 35,34200,22260-56007
ΑΒΓΟ,ΔΠ,ΙΒ ΙΩΑΝΝΙΝΑ 2,ΙΩΑΝΝΙΝΩΝ,ΚΑΛΛΑΡΗ 47,45500,26510-27074
ΑΒΔΑΝΙΤΕΣ,ΔΠ,ΡΘ ΡΕΘΥΜΝΟ,ΡΕΘΥΜΝΟΥ,ΣΤΑΜΑΘΙΟΥΔΑΚΗ 38,74052,28310-35535 & 26205
ΑΒΔΕΛΛΑ (ΓΡΕΒΕΝΩΝ),ΔΠ,ΓΡ ΓΡΕΒΕΝΑ,ΓΡΕΒΕΝΩΝ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΤΑΛΙΑΔΟΥΡΗ 60,51100,24620-87701
ΑΒΔΕΛΛΑ (ΕΒΡΟΥ),ΔΠ,ΔΙ ΔΙΔΥΜΟΤΕΙΧΟ,ΕΒΡΟΥ,Γερμανού 26,68010,25530-20303 & 25530-23143
ΑΒΔΕΛΛΑΣ,ΔΠ,ΡΘ ΡΕΘΥΜΝΟ,ΡΕΘΥΜΝΟΥ,ΣΤΑΜΑΘΙΟΥΔΑΚΗ 38,74052,28310-35535 & 26205
ΑΒΔΗΡΑ,ΔΠ,ΞΝ ΞΑΝΘΗ,ΞΑΝΘΗΣ,ΛΕΩΦ.ΣΤΡΑΤΟΥ 52 & ΜΙΑΟΥΛΗ,67064,25410-68384 & 25410-65250
ΑΒΔΟΥ,ΔΠ,ΧΡ ΧΕΡΣΟΝΗΣΟΣ,ΗΡΑΚΛΕΙΟΥ,Γ.ΣΑΝΟΥΔΑΚΗ 28Γ,70005,28970-25067
ΑΒΕΡΩΦ,,ΛΤ ΛΑΡΙΣΑ 2,ΛΑΡΙΣΗΣ,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 60,41335,2410-619009
ΑΒΙΑ,,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24150,27210-88271
ΑΒΛΕΜΟΝΑΣ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,80100,27310-28403
ΑΒΟΡΟΣ,ΔΠ,ΑΦ ΑΜΦΙΣΣΑ,ΦΩΚΙΔΟΣ,Β.ΚΑΝΑΤΑ 1,33053,22650-79288
ΑΒΡΑΚΟΝΤΕΣ,ΔΠ,ΧΡ ΧΕΡΣΟΝΗΣΟΣ,ΗΡΑΚΛΕΙΟΥ,Γ.ΣΑΝΟΥΔΑΚΗ 28Γ,72052,28970-25067
ΑΒΡΑΜΗΣ,,ΚΡ ΚΕΡΚΥΡΑ,ΚΕΡΚΥΡΑΣ,ΣΤΡ.ΚΟΚΟΝΕΤΣΗ 10 (ΕΝΑΝΤΙ ΛΙΜΕΝΑΡΧ.),49150,26610-45791
ΑΒΡΑΜΙ,ΔΠ,ΠΚ ΠΑΤΡΑ 4 (ΚΑΤΩ ΑΧΑΙΑ),ΑΧΑΙΑΣ,Αθηνάς 15,25015,26930-22227 & 22207
ΑΒΡΑΜΙΑΝΙΚΑ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23062,27310-28403
ΑΒΡΑΜΙΟ,ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24200,27210-88271
ΑΒΡΑΜΙΟΥ,,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24134,27210-88271
ΑΒΡΑΜΥΛΙΑ,ΔΠ,ΚΓ ΚΑΒΑΛΑ,ΚΑΒΑΛΑΣ,ΑΒΕΡΩΦ 5,64200,2510-229000 & 229001
ΑΒΥΘΟΣ,,ΑΙ ΑΙΓΙΟ,ΑΧΑΙΑΣ,Κορίνθου 20,25100,26910-68700
ΑΒΥΣΣΑΛΟΣ,ΔΠ,ΣΕ ΣΕΡΙΦΟΣ,ΚΥΚΛΑΔΩΝ,ΛΙΒΑΔΙ ΣΕΡΙΦΟΥ,84005,22810-52314
ΑΓ. ΑΘΑΝΑΣΙΟΣ,,ΛΡ ΛΑΡΙΣΑ 1,ΛΑΡΙΣΗΣ,ΒΕΛΛΗ 6,41222,2410-252460
ΑΓ. ΑΝΑΡΓΥΡΟΙ,,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,38334,24210-36100
ΑΓ. ΑΝΑΡΓΥΡΟΙ ΤΡΙΑΝΔΡΙΑΣ,,ΘΤ ΤΟΥΜΠΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΔΙΟΓΕΝΟΥΣ 27,55337,2310 900 000 & 2310-903050
ΑΓ. ΑΡΤΕΜΙΟΣ,,ΒΣ ΚΟΥΚΑΚΙ,ΑΤΤΙΚΗΣ,Πειραιώς 193,11631,210-9217800
ΑΓ. ΑΧΙΛΛΕΙΟΣ,,ΛΡ ΛΑΡΙΣΑ 1,ΛΑΡΙΣΗΣ,ΒΕΛΛΗ 6,41221,2410-252460
ΑΓ. ΒΑΡΒΑΡΑ ΡΟΔΟΥ,,ΡΔ ΡΟΔΟΣ (ΚΕΝΤΡΙΚΟ),ΔΩΔ/ΝΗΣΟΥ,ΑΥΣΤΡΑΛΙΑΣ 60,85150,22410-27000 & 2241601510
ΑΓ. ΒΑΣΙΛΕΙΟΣ,,ΑΔ ΠΕΙΡΑΙΑΣ,ΑΤΤΙΚΗΣ,Β' ΜΕΡΑΡΧΙΑΣ & ΠΡΑΞΙΤΕΛΟΥΣ 192,18537,210-4297555
ΑΓ. ΒΑΣΙΛΕΙΟΣ,,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,38333,24210-36100
ΑΓ. ΓΕΩΡΓΙΟΣ,,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,38223,24210-36100
ΑΓ. ΓΕΩΡΓΙΟΣ,,ΛΡ ΛΑΡΙΣΑ 1,ΛΑΡΙΣΗΣ,ΒΕΛΛΗ 6,41336,2410-252460
ΑΓ. ΓΕΩΡΓΙΟΣ (ΒΟΛΟΥ),,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,38221,24210-36100
ΑΓ. ΓΡΗΓΟΡΟΥΣΑ,,ΑΕ ΠΕΡΙΣΤΕΡΙ,ΑΤΤΙΚΗΣ,Παύλου Μελά 11,12137,210-5782111
ΑΓ. ΔΗΜΗΤΡΙΟΣ,,ΡΔ ΡΟΔΟΣ (ΚΕΝΤΡΙΚΟ),ΔΩΔ/ΝΗΣΟΥ,ΑΥΣΤΡΑΛΙΑΣ 60,85132,22410-27000 & 2241601510
ΑΓ. ΕΛΕΥΘΕΡΙΟΣ,,ΒΞ ΓΑΛΑΤΣΙ,ΑΤΤΙΚΗΣ,"ΛΕΩΦ.  ΗΡΑΚΛΕΙΟΥ 133, ΠΕΡΙΣΣΟΣ",11143,210-2110590
ΑΓ. ΙΩΑΝΝΗΣ,,ΧΛ ΧΑΛΚΙΔΑ,ΕΥΒΟΙΑΣ,Γ. ΠΑΠΑΝΔΡΕΟΥ 4,34133,22210-73333 & 22210-21120
ΑΓ. ΙΩΑΝΝΗΣ,,ΘΩ ΚΑΛΑΜΑΡΙΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΕθΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ 48 Β,55132,2310-486866
ΑΓ. ΙΩΑΝΝΗΣ,,ΑΕ ΠΕΡΙΣΤΕΡΙ,ΑΤΤΙΚΗΣ,Παύλου Μελά 11,12132,210-5782111
ΑΓ. ΙΩΑΝΝΗΣ,,ΚΓ ΚΑΒΑΛΑ,ΚΑΒΑΛΑΣ,ΑΒΕΡΩΦ 5,65403,2510-229000 & 229001
ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΣ,,ΛΡ ΛΑΡΙΣΑ 1,ΛΑΡΙΣΗΣ,ΒΕΛΛΗ 6,41223,2410-252460
ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΣ,,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,38222,24210-36100
ΑΓ. ΜΑΡΙΝΑ,,ΧΛ ΧΑΛΚΙΔΑ,ΕΥΒΟΙΑΣ,Γ. ΠΑΠΑΝΔΡΕΟΥ 4,34133,22210-73333 & 22210-21120
ΑΓ. ΝΙΚΟΛΑΟΣ,,ΓΛ ΠΛ.ΒΑΘΗ,ΑΤΤΙΚΗΣ,ΣΟΥΡΜΕΛΗ 5,10445,210-5242300
ΑΓ. ΝΙΚΟΛΑΟΣ,,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,38221,24210-36100
ΑΓ. ΝΙΚΟΛΑΟΣ,,ΛΡ ΛΑΡΙΣΑ 1,ΛΑΡΙΣΗΣ,ΒΕΛΛΗ 6,41222,2410-252460
ΑΓ. ΝΙΚΟΛΑΟΣ,,ΚΓ ΚΑΒΑΛΑ,ΚΑΒΑΛΑΣ,ΑΒΕΡΩΦ 5,65302,2510-229000 & 229001
ΑΓ. ΠΑΝΤΕΛΕΗΜΟΝΑΣ,,ΚΑ ΚΑΡΔΙΤΣΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΑΙΣΚΑΚΗ 24,43150,24410-25983
ΑΓ. ΠΑΝΤΕΛΕΗΜΟΝΑΣ,,ΓΛ ΠΛ.ΒΑΘΗ,ΑΤΤΙΚΗΣ,ΣΟΥΡΜΕΛΗ 5,11251,210-5242300
ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ ΚΑΤΩ ΒΟΥΛΙΑΓΜΕΝΗ,,ΑΣ ΓΛΥΦΑΔΑ,ΑΤΤΙΚΗΣ,ΓΟΥΝΑΡΗ 229,16671,210-9609600 & 210-9606643
ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ ΠΟΛΙΧΝΗΣ,,ΘΕ ΕΥΚΑΡΠΙΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,"ΘΕΣΣΑΛΟΝΙΚΗΣ 110, ΩΡΑΙΟΚΑΣΤΡΟ",56533,2310-688955
ΑΓ. ΠΑΝΤΩΝ ΣΡΟΦΗ ΕΠΤΑΛΟΦΟΥ,,ΘΟ ΜΟΝΑΣΤΗΡΙΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΜΟΝΑΣΤΗΡΙΟΥ 191,54627,2310-567462
ΑΓ. ΠΑΥΛΟΣ,,ΚΓ ΚΑΒΑΛΑ,ΚΑΒΑΛΑΣ,ΑΒΕΡΩΦ 5,65302,2510-229000 & 229001
ΑΓ. ΣΑΡΑΝΤΑ,,ΛΡ ΛΑΡΙΣΑ 1,ΛΑΡΙΣΗΣ,ΒΕΛΛΗ 6,41221,2410-252460
ΑΓ. ΣΟΦΙΑ,,ΑΔ ΠΕΙΡΑΙΑΣ,ΑΤΤΙΚΗΣ,Β' ΜΕΡΑΡΧΙΑΣ & ΠΡΑΞΙΤΕΛΟΥΣ 192,18546,210-4297555
ΑΓ. ΤΡΙΑΔΑ,,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24134,27210-88271
ΑΓ. ΤΡΙΑΔΑ,,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45333,26510-66966
ΑΓ.ΙΩΑΝΝΗΣ,,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73134,28210-92520
ΑΓ.ΙΩΑΝΝΗΣ,,ΘΕ ΕΥΚΑΡΠΙΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,"ΘΕΣΣΑΛΟΝΙΚΗΣ 110, ΩΡΑΙΟΚΑΣΤΡΟ",56533,2310-688955
ΑΓ.ΤΡΥΦΩΝ ΘΕΡΜΗΣ,,ΘΘ ΘΕΡΜΗ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΡΑΦΑΗΛΙΔΗ ΠΑΠΑΔΑΚΗ 3,57001,2310-466996 & 2310-487655
ΑΓΑΔΑΙΙΚΑ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23200,27310-28403
ΑΓΑΘΗ,ΔΠ,ΣΚ ΣΚΥΔΡΑ,ΠΕΛΛΗΣ,ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ 36,58400,23810-89922
ΑΓΑΘΟ,ΔΠ,ΕΝ ΑΛΙΒΕΡΙ,ΕΥΒΟΙΑΣ,ΤΑΜΥΝΑΙΩΝ 45,34001,22230-29720
ΑΓΑΘΟΝΗΣΙ (ΝΗΣΟΣ),ΔΠ,ΣΜ ΣΑΜΟΣ,ΣΑΜΟΥ,ΘΕΜ. ΣΟΦΟΥΛΗ & Ι. ΛΕΚΑΤΗ 1,85001,22730-80788
ΑΓΑΛΑΙΟΙ,ΔΠ,ΓΡ ΓΡΕΒΕΝΑ,ΓΡΕΒΕΝΩΝ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΤΑΛΙΑΔΟΥΡΗ 60,51100,24620-87701
ΑΓΑΛΑΣ,ΔΠ,ΖΚ ΖΑΚΥΝΘΟΣ,ΖΑΚΥΝΘΟΥ,ΘΕΣΗ ΦΛΟΚΑ ΓΑΪΤΑΝΙΟΥ,29092,26950-29900
ΑΓΑΛΙΑΝΗ,ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24011,27210-88271
ΑΓΑΛΙΑΝΟΣ (ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ),ΔΠ,ΑΓ ΑΓΡΙΝΙΟ,ΑΙΤΩΛ/ΝΙΑΣ,ΜΑΒΙΛΗ 12,30021,26410-33141 & 26410-33241
ΑΓΑΛΙΑΝΟΣ (ΡΕΘΥΜΝΗΣ),ΔΠ,ΡΘ ΡΕΘΥΜΝΟ,ΡΕΘΥΜΝΟΥ,ΣΤΑΜΑΘΙΟΥΔΑΚΗ 38,74053,28310-35535 & 26205
ΑΓΑΛΩ,ΔΠ,ΤΙ ΤΡΙΠΟΛΗ,ΑΡΚΑΔΙΑΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 28,22007,2710-221806
ΑΓΑΝΩΤΑΙΙΚΑ,ΔΠ,ΚΔ ΚΡΑΝΙΔΙ,ΑΡΓΟΛΙΔΑΣ,ΑΓΙΟΥ ΧΑΡΑΛΑΜΠΟΥΣ 2,21051,27540-29377
ΑΓΑΠΗ (ΓΡΕΒΕΝΩΝ),,ΓΡ ΓΡΕΒΕΝΑ,ΓΡΕΒΕΝΩΝ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΤΑΛΙΑΔΟΥΡΗ 60,51100,24620-87701
ΑΓΑΠΗ (ΤΗΝΟΥ ΚΥΚΛΑΔΩΝ),ΔΠ,ΤΝ ΤΗΝΟΣ,ΚΥΚΛΑΔΩΝ,25ης Μαρτίου και Ζανάκη Αλαβάνου,84200,22830-25583
ΑΓΓΑΡΑΘΟΜΟΥΡΗ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73500,28210-92520
ΑΓΓΕΙΑΔΑΚΙ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23062,27310-28403
ΑΓΓΕΛΑΙΙΚΑ,ΔΠ,ΑΡ ΑΡΤΑ,ΑΡΤΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΟΔΟΣ ΑΡΤΑΣ 55,47045,26810-79878 & 26810-24757
ΑΓΓΕΛΙΑΝΑ,ΔΠ,ΡΘ ΡΕΘΥΜΝΟ,ΡΕΘΥΜΝΟΥ,ΣΤΑΜΑΘΙΟΥΔΑΚΗ 38,74052,28310-35535 & 26205
ΑΓΓΕΛΟΚΑΣΤΡΟ (ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ),ΔΠ,ΑΓ ΑΓΡΙΝΙΟ,ΑΙΤΩΛ/ΝΙΑΣ,ΜΑΒΙΛΗ 12,30400,26410-33141 & 26410-33241
ΑΓΓΕΛΟΚΑΣΤΡΟ (ΚΟΡΙΝΘΙΑΣ),ΔΠ,ΚΟ ΚΟΡΙΝΘΟΣ,ΚΟΡΙΝΘΟΥ,ΑΡΓΟΥΣ 2,20004,27416-01020
ΑΓΓΕΛΟΠΟΥΛΟΥ,,ΑΚ ΜΑΡΟΥΣΙ,ΑΤΤΙΚΗΣ,ΑΡΤΕΜΙΔΟΣ 2 & Κ.ΑΙΤΩΛΟΥ 3,15126,216-1000500
ΑΓΓΕΛΟΧΩΡΙ,,ΘΛ ΛΑΓΚΑΔΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,2 ΧΛΜ ΛΑΓΚΑΔΑ - ΘΕΣ/ΚΗΣ,57012,23940-20885
ΑΓΓΕΛΟΧΩΡΙ (ΗΜΑΘΙΑΣ),ΔΠ,ΒΡ ΒΕΡΟΙΑ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ 50,59200,23310-75400
ΑΓΓΕΛΟΧΩΡΙ (ΜΗΧΑΝΙΩΝΑΣ ΘΕΣΣΑΛΟΝΙΚΗΣ),,ΘΠ ΠΕΡΑΙΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,Λεωφόρος Θεσσαλονίκης Μηχανιώνας 82,57004,23920-26200
ΑΓΓΕΛΩΝΑ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23052,27310-28403
ΑΓΓΙΣΤΑ,ΔΠ,ΣΡ ΣΕΡΡΕΣ,ΣΕΡΡΩΝ,ΒΕΝΙΖΕΛΟΥ 91,62047,23210-50889 & 23210-50887
ΑΓΓΙΤΗΣ,ΔΠ,ΔΡ ΔΡΑΜΑ,ΔΡΑΜΑΣ,Φιλίππου 29,66200,25210-22287 & 25210-22267
ΑΓΔΙΝΕΣ,ΔΠ,ΕΒ ΙΣΤΙΑΙΑ,ΕΥΒΟΙΑΣ,ΑΘ. ΚΟΡΦΙΑΤΗ 35,34200,22260-56007
ΑΓΕΛΗ,,ΞΝ ΞΑΝΘΗ,ΞΑΝΘΗΣ,ΛΕΩΦ.ΣΤΡΑΤΟΥ 52 & ΜΙΑΟΥΛΗ,67150,25410-68384 & 25410-65250
ΑΓΕΡΑΝΟΣ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23200,27310-28403
ΑΓΙΑ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23200,27310-28403
ΑΓΙΑ  ΑΝΝΑ ΑΧΑΡΝΩΝ,,ΒΑ ΜΕΝΙΔΙ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΠΑΡΝΗΘΟΣ 132,13671,210-2444714 & 2401820
ΑΓΙΑ  ΕΙΡΗΝΗ,,ΤΡ ΤΡΙΚΑΛΑ,ΤΡΙΚΑΛΩΝ,ΒΑΣ. ΤΣΙΤΣΑΝΗ 41,42132,24310-20081 & 24310-72646
ΑΓΙΑ (ΛΑΡΙΣΗΣ),ΔΧ,ΛΤ ΛΑΡΙΣΑ 2,ΛΑΡΙΣΗΣ,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 60,40003,2410-619009
ΑΓΙΑ (ΝΑΞΟΥ ΚΥΚΛΑΔΩΝ),ΔΠ,ΝΞ ΝΑΞΟΣ,ΚΥΚΛΑΔΩΝ,"ΘΕΣΗ ΕΛΛΗ, ΧΩΡΑ ΝΑΞΟΥ",84302,22850-23225
ΑΓΙΑ (ΠΡΕΒΕΖΗΣ),ΔΠ,ΠΡ ΠΡΕΒΕΖΑ,ΠΡΕΒΕΖΑΣ,Λεωφόρος Ιωαννίνων 212,48060,26820-28128
ΑΓΙΑ (ΡΕΘΥΜΝΗΣ),ΔΠ,ΡΘ ΡΕΘΥΜΝΟ,ΡΕΘΥΜΝΟΥ,ΣΤΑΜΑΘΙΟΥΔΑΚΗ 38,74052,28310-35535 & 26205
ΑΓΙΑ (ΧΑΝΙΩΝ),ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73005,28210-92520
ΑΓΙΑ ΑΓΑΘΗ,ΔΠ,ΚΑ ΚΑΡΔΙΤΣΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΑΙΣΚΑΚΗ 24,43100,24410-25983
ΑΓΙΑ ΑΙΚΑΤΕΡΙΝΗ,,ΛΜ ΛΑΜΙΑ,ΦΘΙΩΤΙΔΟΣ,ΘΕΡΜΟΠΥΛΩΝ 23,35009,22310-23901 & 22310-51553
ΑΓΙΑ ΑΙΚΑΤΕΡΙΝΗ,,ΚΤ ΚΑΤΕΡΙΝΗ,ΠΙΕΡΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ 78-80,60134,23510-30000 & 23510-34444
ΑΓΙΑ ΑΙΚΑΤΕΡΙΝΗ,,ΘΔ ΑΓ. ΔΗΜΗΤΡΙΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΑΓ.ΔΗΜΗΤΡΙΟΥ 28-30,54632,2310-251604 & 2310-257286
ΑΓΙΑ ΑΙΚΑΤΕΡΙΝΗ,,ΒΘ ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ,ΑΤΤΙΚΗΣ,ΚΥΠΡΟΥ 41 & ΑΡΕΤΗΣ,13122,210-2693523 & 210-2693553
ΑΓΙΑ ΑΙΚΑΤΕΡΙΝΗ,ΔΠ,ΒΨ ΑΓ. ΣΤΕΦΑΝΟΣ,ΑΤΤΙΚΗΣ,"ΛΕΩΦ.ΜΑΡΑΘΩΝΟΣ 61-63, ΑΝΟΙΞΗ",19015,210-6217440
ΑΓΙΑ ΑΙΚΑΤΕΡΙΝΗ,,ΑΟ ΑΡΓΟΣ,ΑΡΓΟΛΙΔΑΣ,Μεσσηνίας Αρκαδίας 115,21250,27510-61121
ΑΓΙΑ ΑΙΚΑΤΕΡΙΝΗ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,80100,27310-28403
ΑΓΙΑ ΑΙΚΑΤΕΡΙΝΗ (ΑΡΓΟΛΙΔΑΣ),ΔΠ,ΚΔ ΚΡΑΝΙΔΙ,ΑΡΓΟΛΙΔΑΣ,ΑΓΙΟΥ ΧΑΡΑΛΑΜΠΟΥΣ 2,21051,27540-29377
ΑΓΙΑ ΑΙΚΑΤΕΡΙΝΗ (ΦΘΙΩΤΙΔΑΣ),,ΛΜ ΛΑΜΙΑ,ΦΘΙΩΤΙΔΟΣ,ΘΕΡΜΟΠΥΛΩΝ 23,35200,22310-23901 & 22310-51553
ΑΓΙΑ ΑΝΑΣΤΑΣΙΑ,,ΑΕ ΠΕΡΙΣΤΕΡΙ,ΑΤΤΙΚΗΣ,Παύλου Μελά 11,12136,210-5782111
ΑΓΙΑ ΑΝΑΣΤΑΣΙΑ,ΔΠ,ΘΘ ΘΕΡΜΗ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΡΑΦΑΗΛΙΔΗ ΠΑΠΑΔΑΚΗ 3,63073,2310-466996 & 2310-487655
ΑΓΙΑ ΑΝΑΣΤΑΣΙΑ (ΑΡΚΑΔΙΑΣ),ΔΠ,ΑΟ ΑΡΓΟΣ,ΑΡΓΟΛΙΔΑΣ,Μεσσηνίας Αρκαδίας 115,22001,27510-61121
ΑΓΙΑ ΑΝΑΣΤΑΣΙΑ (ΙΩΑΝΝΙΝΩΝ),ΔΠ,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45500,26510-66966
ΑΓΙΑ ΑΝΑΣΤΑΣΙΑ (ΚΥΘΗΡΩΝ ΑΤΤΙΚΗΣ),ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,80100,27310-28403
ΑΓΙΑ ΑΝΝΑ,,ΚΟ ΚΟΡΙΝΘΟΣ,ΚΟΡΙΝΘΟΥ,ΑΡΓΟΥΣ 2,20132,27416-01020
ΑΓΙΑ ΑΝΝΑ,,ΝΞ ΝΑΞΟΣ,ΚΥΚΛΑΔΩΝ,"ΘΕΣΗ ΕΛΛΗ, ΧΩΡΑ ΝΑΞΟΥ",84300,22850-23225
ΑΓΙΑ ΑΝΝΑ,,ΒΤ ΜΟΣΧΑΤΟ,ΑΤΤΙΚΗΣ,ΧΡΥΣΟΣΤΟΜΟΥ ΣΜΥΡΝΗΣ 117Α,17778,210-4838410
